"01-446 Aurora" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"34-440 Mendenhall Valley No. 2" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,24 
"34-440 Mendenhall Valley No. 2" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,388 
"34-440 Mendenhall Valley No. 2" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,34 
"34-450 Mendenhall Valley No. 3" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"34-450 Mendenhall Valley No. 3" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"34-450 Mendenhall Valley No. 3" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2097 
"34-450 Mendenhall Valley No. 3" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,742 
"34-450 Mendenhall Valley No. 3" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,11 
"34-450 Mendenhall Valley No. 3" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,279 
"34-450 Mendenhall Valley No. 3" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"34-450 Mendenhall Valley No. 3" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,62 
"34-450 Mendenhall Valley No. 3" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,14 
"34-450 Mendenhall Valley No. 3" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,349 
"34-450 Mendenhall Valley No. 3" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,20 
"34-460 Mendenhall Valley No. 4" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"34-460 Mendenhall Valley No. 4" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"34-460 Mendenhall Valley No. 4" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2804 
"34-460 Mendenhall Valley No. 4" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,1031 
"34-460 Mendenhall Valley No. 4" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,12 
"34-460 Mendenhall Valley No. 4" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,388 
"34-460 Mendenhall Valley No. 4" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,4 
"34-460 Mendenhall Valley No. 4" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,78 
"34-460 Mendenhall Valley No. 4" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,24 
"34-460 Mendenhall Valley No. 4" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,481 
"34-460 Mendenhall Valley No. 4" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,33 
"35-700 Angoon" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"35-700 Angoon" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"35-700 Angoon" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,331 
"35-700 Angoon" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,179 
"35-700 Angoon" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,9 
"35-700 Angoon" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,110 
"35-700 Angoon" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"35-700 Angoon" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,18 
"35-700 Angoon" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,4 
"35-700 Angoon" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,27 
"35-700 Angoon" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,7 
"35-705 Craig" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"35-705 Craig" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"35-705 Craig" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1026 
"35-705 Craig" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,424 
"35-705 Craig" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,7 
"35-705 Craig" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,126 
"35-705 Craig" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,5 
"35-705 Craig" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,21 
"35-705 Craig" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,11 
"35-705 Craig" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,234 
"35-705 Craig" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,17 
"35-720 Hoonah" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"35-720 Hoonah" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"35-720 Hoonah" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,695 
"35-720 Hoonah" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,312 
"35-720 Hoonah" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,15 
"35-720 Hoonah" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,122 
"35-720 Hoonah" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,5 
"35-720 Hoonah" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,16 
"35-720 Hoonah" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,7 
"35-720 Hoonah" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,131 
"35-720 Hoonah" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,9 
"35-730 Kake" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"35-730 Kake" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"35-730 Kake" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,392 
"35-730 Kake" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,185 
"35-730 Kake" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,12 
"35-730 Kake" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,77 
"35-730 Kake" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,9 
"35-730 Kake" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,11 
"35-730 Kake" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,6 
"35-730 Kake" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,67 
"35-730 Kake" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,0 
"35-735 Kasaan" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"35-735 Kasaan" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"35-735 Kasaan" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,60 
"35-735 Kasaan" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,22 
"35-735 Kasaan" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,1 
"35-735 Kasaan" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,4 
"35-735 Kasaan" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"35-735 Kasaan" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,7 
"35-735 Kasaan" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,1 
"35-735 Kasaan" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,7 
"35-735 Kasaan" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,1 
"35-740 Klawock" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"35-740 Klawock" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"35-740 Klawock" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,675 
"35-740 Klawock" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,294 
"35-740 Klawock" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,10 
"35-740 Klawock" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,105 
"35-740 Klawock" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"35-740 Klawock" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,11 
"35-740 Klawock" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,18 
"35-740 Klawock" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,139 
"35-740 Klawock" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,8 
"35-745 North Prince of Wales" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"35-745 North Prince of Wales" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"35-745 North Prince of Wales" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,533 
"35-745 North Prince of Wales" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,97 
"35-745 North Prince of Wales" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,6 
"35-745 North Prince of Wales" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,24 
"35-745 North Prince of Wales" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"35-745 North Prince of Wales" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,8 
"35-745 North Prince of Wales" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,4 
"35-745 North Prince of Wales" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,53 
"35-745 North Prince of Wales" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,2 
"35-750 Pelican-Elfin Cove" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"35-750 Pelican-Elfin Cove" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"35-750 Pelican-Elfin Cove" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,178 
"35-750 Pelican-Elfin Cove" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,50 
"35-750 Pelican-Elfin Cove" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,1 
"35-750 Pelican-Elfin Cove" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,13 
"35-750 Pelican-Elfin Cove" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"35-750 Pelican-Elfin Cove" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,2 
"35-750 Pelican-Elfin Cove" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,1 
"35-750 Pelican-Elfin Cove" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,33 
"35-750 Pelican-Elfin Cove" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,0 
"35-755 Petersburg-Kupreanof" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"35-755 Petersburg-Kupreanof" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"35-755 Petersburg-Kupreanof" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2741 
"35-755 Petersburg-Kupreanof" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,1078 
"35-755 Petersburg-Kupreanof" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,12 
"35-755 Petersburg-Kupreanof" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,334 
"35-755 Petersburg-Kupreanof" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,7 
"35-755 Petersburg-Kupreanof" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,64 
"35-755 Petersburg-Kupreanof" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,37 
"35-755 Petersburg-Kupreanof" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,577 
"35-755 Petersburg-Kupreanof" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,32 
"35-760 Port Alexander" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"35-760 Port Alexander" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"35-760 Port Alexander" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,80 
"35-760 Port Alexander" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,28 
"35-760 Port Alexander" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,0 
"35-760 Port Alexander" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,9 
"35-760 Port Alexander" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"35-760 Port Alexander" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,0 
"35-760 Port Alexander" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,2 
"35-760 Port Alexander" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,16 
"35-760 Port Alexander" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,0 
"35-765 Sitka No. 1" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"35-765 Sitka No. 1" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"35-765 Sitka No. 1" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,3599 
"35-765 Sitka No. 1" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,1413 
"35-765 Sitka No. 1" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,21 
"35-765 Sitka No. 1" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,587 
"35-765 Sitka No. 1" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,10 
"35-765 Sitka No. 1" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,76 
"35-765 Sitka No. 1" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,41 
"35-765 Sitka No. 1" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,630 
"35-765 Sitka No. 1" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,37 
"35-770 Sitka No. 2" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"35-770 Sitka No. 2" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"35-770 Sitka No. 2" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,3619 
"35-770 Sitka No. 2" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,1370 
"35-770 Sitka No. 2" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,17 
"35-770 Sitka No. 2" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,671 
"35-770 Sitka No. 2" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,8 
"35-770 Sitka No. 2" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,69 
"35-770 Sitka No. 2" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,37 
"35-770 Sitka No. 2" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,514 
"35-770 Sitka No. 2" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,35 
"35-775 Tenakee Springs" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"35-775 Tenakee Springs" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"35-775 Tenakee Springs" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,160 
"35-775 Tenakee Springs" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,61 
"35-775 Tenakee Springs" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,2 
"35-775 Tenakee Springs" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,22 
"35-775 Tenakee Springs" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"35-775 Tenakee Springs" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,9 
"35-775 Tenakee Springs" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,3 
"35-775 Tenakee Springs" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,24 
"35-775 Tenakee Springs" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,0 
"35-780 Thorne Bay" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"35-780 Thorne Bay" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"35-780 Thorne Bay" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,616 
"35-780 Thorne Bay" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,182 
"35-780 Thorne Bay" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,3 
"35-780 Thorne Bay" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,18 
"35-780 Thorne Bay" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,4 
"35-780 Thorne Bay" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,5 
"35-780 Thorne Bay" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,4 
"35-780 Thorne Bay" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,139 
"35-780 Thorne Bay" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,8 
"36-600 Ketchikan No. 1" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"36-600 Ketchikan No. 1" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"36-600 Ketchikan No. 1" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2028 
"36-600 Ketchikan No. 1" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,696 
"36-600 Ketchikan No. 1" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,9 
"36-600 Ketchikan No. 1" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,277 
"36-600 Ketchikan No. 1" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,3 
"36-600 Ketchikan No. 1" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,69 
"36-600 Ketchikan No. 1" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,17 
"36-600 Ketchikan No. 1" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,299 
"36-600 Ketchikan No. 1" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,15 
"36-610 Ketchikan No. 2" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"36-610 Ketchikan No. 2" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"36-610 Ketchikan No. 2" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2296 
"36-610 Ketchikan No. 2" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,958 
"36-610 Ketchikan No. 2" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,15 
"36-610 Ketchikan No. 2" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,349 
"36-610 Ketchikan No. 2" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,3 
"36-610 Ketchikan No. 2" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,80 
"36-610 Ketchikan No. 2" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,16 
"36-610 Ketchikan No. 2" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,440 
"36-610 Ketchikan No. 2" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,36 
"36-620 Ketchikan No. 3" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"36-620 Ketchikan No. 3" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"36-620 Ketchikan No. 3" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1597 
"36-620 Ketchikan No. 3" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,651 
"36-620 Ketchikan No. 3" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,12 
"36-620 Ketchikan No. 3" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,155 
"36-620 Ketchikan No. 3" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,3 
"36-620 Ketchikan No. 3" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,57 
"36-620 Ketchikan No. 3" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,13 
"36-620 Ketchikan No. 3" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,394 
"36-620 Ketchikan No. 3" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,13 
"36-640 North Tongass No. 1" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"36-640 North Tongass No. 1" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"36-640 North Tongass No. 1" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,889 
"36-640 North Tongass No. 1" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,391 
"36-640 North Tongass No. 1" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,2 
"36-640 North Tongass No. 1" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,86 
"36-640 North Tongass No. 1" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"36-640 North Tongass No. 1" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,19 
"36-640 North Tongass No. 1" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,13 
"36-640 North Tongass No. 1" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,268 
"36-640 North Tongass No. 1" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,3 
"36-650 North Tongass No. 2" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"36-650 North Tongass No. 2" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"36-650 North Tongass No. 2" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1710 
"36-650 North Tongass No. 2" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,802 
"36-650 North Tongass No. 2" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,1 
"36-650 North Tongass No. 2" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,183 
"36-650 North Tongass No. 2" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"36-650 North Tongass No. 2" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,61 
"36-650 North Tongass No. 2" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,9 
"36-650 North Tongass No. 2" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,525 
"36-650 North Tongass No. 2" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,10 
"36-660 Saxman" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"36-660 Saxman" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"36-660 Saxman" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,274 
"36-660 Saxman" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,123 
"36-660 Saxman" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,7 
"36-660 Saxman" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,53 
"36-660 Saxman" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"36-660 Saxman" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,11 
"36-660 Saxman" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,5 
"36-660 Saxman" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,42 
"36-660 Saxman" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,2 
"36-670 South Tongass" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"36-670 South Tongass" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"36-670 South Tongass" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1718 
"36-670 South Tongass" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,669 
"36-670 South Tongass" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,2 
"36-670 South Tongass" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,193 
"36-670 South Tongass" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
